SHIP'S NAME,COUNTRY,DWT,LBP,B,D,d,Air_d,Vs,L/B,L/D,B/D,B/d,L/d,d/D,Fn
LIMERICK,CANADA,105000,234,42,21,14.9,6.1,7.66456,5.571428571,11.14285714,2,2.818791946,15.70469799,0.70952381,0.159972303
POLAR MARINER,CYPRUS,116000,240.97,44,22.7,14.6,8.1,8.64192,5.476590909,10.6154185,1.938325991,3.01369863,16.50479452,0.643171806,0.177743713
POLAR MERCHANT,CYPRUS,116000,240.97,44,22.7,14.6,8.1,8.64192,5.476590909,10.6154185,1.938325991,3.01369863,16.50479452,0.643171806,0.177743713
RATNA SHRUTI,INDIA,105000,234,42,21,14.9,6.1,7.716,5.571428571,11.14285714,2,2.818791946,15.70469799,0.70952381,0.161045942
RATNA SHRADHA,INDIA,105000,234,42,21,14.9,6.1,7.716,5.571428571,11.14285714,2,2.818791946,15.70469799,0.70952381,0.161045942
RATNA NAMRATA,INDIA,105000,234,42,21,14.9,6.1,7.716,5.571428571,11.14285714,2,2.818791946,15.70469799,0.70952381,0.161045942
PRO ALLIANCE,KOREA,105000,234,42,21,14.9,6.1,7.716,5.571428571,11.14285714,2,2.818791946,15.70469799,0.70952381,0.161045942
ALBURAQ,KUWAIT,112000,239,44,21,13.6,7.4,7.716,5.431818182,11.38095238,2.095238095,3.235294118,17.57352941,0.647619048,0.159352457
ARCTIC GALAXY,U.A.E.,105000,234,42,21,14.9,6.1,7.716,5.571428571,11.14285714,2,2.818791946,15.70469799,0.70952381,0.161045942
PHOENIX HOPE,GREECE,105000,234,42,21,13.6,7.4,7.92176,5.571428571,11.14285714,2,3.088235294,17.20588235,0.647619048,0.165340501
LIBYAN GALAXY,U.A.E.,105000,234,42,21,14.9,6.1,7.716,5.571428571,11.14285714,2,2.818791946,15.70469799,0.70952381,0.161045942
SEA LEGEND,KUWAIT,112000,239,44,21,13.6,7.4,7.716,5.431818182,11.38095238,2.095238095,3.235294118,17.57352941,0.647619048,0.159352457
PRO TRIUMPH,KOREA,105000,234,42,21.2,13.6,7.6,7.716,5.571428571,11.03773585,1.981132075,3.088235294,17.20588235,0.641509434,0.161045942
ZALIV BAIKAL,RUSSIA,104000,234,42,22,13.5,8.5,7.9732,5.571428571,10.63636364,1.909090909,3.111111111,17.33333333,0.613636364,0.16641414
ZALIV VOSTOK,RUSSIA,104000,234,42,22,13.5,8.5,7.9732,5.571428571,10.63636364,1.909090909,3.111111111,17.33333333,0.613636364,0.16641414
OHIO,GREECE,105000,234,42,21,15,6,7.87032,5.571428571,11.14285714,2,2.8,15.6,0.714285714,0.164266861
ALPINE ALASKA,GERMANY,105000,234,42,21,14.9,6.1,7.716,5.571428571,11.14285714,2,2.818791946,15.70469799,0.70952381,0.161045942
CHRYSAN THEMUM,GREECE,105000,234,42,21,15,6,7.87032,5.571428571,11.14285714,2,2.8,15.6,0.714285714,0.164266861
ALPINE ATHELIA,GERMANY,105000,234,42,21,14.9,6.1,7.716,5.571428571,11.14285714,2,2.818791946,15.70469799,0.70952381,0.161045942
ASPASIA LEMOS,GREECE,105000,234,42,21,15,6,7.87032,5.571428571,11.14285714,2,2.8,15.6,0.714285714,0.164266861
NS ARCTIC,RUSSIA,112000,239,44,21,13.6,7.4,7.716,5.431818182,11.38095238,2.095238095,3.235294118,17.57352941,0.647619048,0.159352457
NS ANTARCTIC,RUSSIA,112000,239,44,21,13.6,7.4,7.716,5.431818182,11.38095238,2.095238095,3.235294118,17.57352941,0.647619048,0.159352457
NS ASIA,RUSSIA,112000,239,44,21,13.6,7.4,7.716,5.431818182,11.38095238,2.095238095,3.235294118,17.57352941,0.647619048,0.159352457
NS AFRICA,RUSSIA,112000,239,44,21,13.6,7.4,7.716,5.431818182,11.38095238,2.095238095,3.235294118,17.57352941,0.647619048,0.159352457
RATNA SHALINI,INDIA,105000,234,42,21,13.6,7.4,7.92176,5.571428571,11.14285714,2,3.088235294,17.20588235,0.647619048,0.165340501
ALPINE AMALIA,SINGAPORE,105000,234,42,21,13.6,7.4,8.02464,5.571428571,11.14285714,2,3.088235294,17.20588235,0.647619048,0.16748778
SWARNA JAYANTI,INDIA,105000,234,42,21,14,7,7.81888,5.571428571,11.14285714,2,3,16.71428571,0.666666667,0.163193221
